X,Y,Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2
134993.43126349663,539990.1537095358,0.03760977835770688,0.08632694588225533,0.04564032456102769,0.10661179863783958,0.05741543052112463,0.1369656440721158
134992.7512496946,549990.2382801777,0.03706460966817223,0.08490913306191485,0.04495725918140571,0.10479383645567315,0.056544473790013663,0.13457578285720276
134992.0694475518,559990.3229006386,0.036854786783958524,0.08437081094854143,0.044692923034449474,0.10409705417943639,0.05620131610517358,0.13364174431436746
134991.38585883257,569990.4075718,0.036909053518055346,0.08454467559149562,0.04474314690478469,0.10426886954257625,0.05622880631108611,0.13376706943787073
134990.7004853065,579990.4922945332,0.03724992466123379,0.08550400973928395,0.04515440596750889,0.10545181259470322,0.05672325220642811,0.1352374504475079
134990.01332874398,589990.5770697003,0.03808382297656681,0.08779464510835153,0.04622784068445055,0.10845826961825997,0.05815887403556528,0.13935502570485575
134989.32439092547,599990.6618981607,0.03953869336453251,0.0917478591181713,0.04822892153260229,0.11399357329466929,0.06109403668944451,0.1476210984106723
134988.63367362978,609990.7467807648,0.042177766171897335,0.09873113886676849,0.05213876326601035,0.124499144389298,0.06737348571269156,0.16470118835961528
134987.94117864562,619990.8317183619,0.046721333493340456,0.11025785878881367,0.05959433132903397,0.14351787628045506,0.08071456149854539,0.19868137099710298
134987.2469077622,629990.916711784,0.05290040507816588,0.12529739969215867,0.07045603102647591,0.1696916737308009,0.10087030502166641,0.24642465226065766
134986.55086277652,639991.001761868,0.058510212273894975,0.1386927535548589,0.07968479403530458,0.19173073768179347,0.11566344669623793,0.2819516964147282
134985.85304548475,649991.0868694332,0.059973917904845214,0.1420529342177781,0.08190900815499151,0.19708278227600787,0.1187138228204511,0.2898134351616833
134985.1534576934,659991.1720353035,0.05708926810494189,0.1348296292476934,0.0778583196889711,0.18687939615821536,0.11357368360645792,0.27688642263867236
134984.45210121002,669991.2572602879,0.052671659309341284,0.12431743036359513,0.07064817494581378,0.17002820344382208,0.10348994441841049,0.2539415857064734
