Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2,lon,lat
0.0509242346460412,0.1199753112630753,0.0680049190602877,0.1635908420306478,0.0993349364292847,0.2440805037350435,34.25637569743154,32.11974953492835
0.0500090039302503,0.1175094600409946,0.0677074695594758,0.1625368863001721,0.1048962839941178,0.2564487483411586,34.25543397511358,32.209916434283215
0.0516841678505985,0.1213357795753402,0.071992158324045,0.1726107041424917,0.1167207423543082,0.2842860856927098,34.2544880305444,32.300082021702266
0.0535507355534739,0.1258770310434106,0.0750238318686315,0.1801978317042686,0.1204791940426247,0.2944710375015615,34.253537846563134,32.39024629514975
0.0551208361745434,0.1298487800408446,0.0767834218697111,0.1848650779237603,0.1206857847157733,0.2962182241250347,34.2525834058933,32.480409252602115
0.0565444412462663,0.1335829371665718,0.0783212335337367,0.1890978323661425,0.1228583455217633,0.3017384788335503,34.25162469114188,32.57057089204783
0.0576250865635603,0.136450816855748,0.0792548529418834,0.1917476813057139,0.1232965801265994,0.3032399599868358,34.25066168479849,32.660731211487516
0.058543770252526,0.1388974906055101,0.0798252148733891,0.193451067252627,0.1221959253231908,0.3013281782874658,34.24969436923446,32.750890208933804
0.0599215926588947,0.1425475098644492,0.0813187433239832,0.1975694425189771,0.1243415650228379,0.3067852018541771,34.248722726701935,32.8410478824115
0.0614570409271665,0.1465981068000682,0.0828585333048809,0.2018346358139796,0.1253339009158011,0.3099668181578143,34.247746739332975,32.931204229957594
0.0632803423321645,0.151361797799333,0.0846835875134415,0.2068508005319467,0.1255605454017549,0.311913986426106,34.24676638913864,33.02135924962114
0.0658871151097401,0.158154317593201,0.0879450053992468,0.2155959283951611,0.1296660738621913,0.3229813400061909,34.24578165800807,33.11151293946336
0.0690840379223868,0.1663798188008187,0.0921043282338195,0.226580992048127,0.1341305193082377,0.3356776159656588,34.24479252770753,33.20166529755769
0.0736553200878769,0.1779059800675919,0.0987913200568181,0.2437337074565818,0.1421940307197382,0.3579740725194367,34.24379897987946,33.29181632198966
